Symbol,Description,Last,Net Chng,%Change,Volume,Bid,Ask,High,Low,Delta,Gamma,Theta,Vega,Open.Int
.GOOGL221021P96,GOOGL 100 21 OCT 22 96 PUT,2.38,+.40,+20.20%,"4,284",2.34,2.37,2.68,1.58,-.42,.05,-.15,.06,"8,218"
.F221014P11.5,F 100 (Weeklys) 14 OCT 22 11.5 PUT,.26,-.12,-31.58%,"7,563",.26,.27,.48,.16,-.46,.54,-.06,.00,"8,214"
.BSM221021C17.5,BSM 100 21 OCT 22 17.5 CALL,.35,0,0.00%,587,.30,.40,.45,.15,.40,.30,-.02,.01,"8,176"
.AEM221118P40,AEM 100 18 NOV 22 40 PUT,1.95,+.15,+8.33%,14,1.95,2.10,1.97,1.65,-.38,.06,-.04,.05,"8,134"
.WFC221021P40,WFC 100 21 OCT 22 40 PUT,1.41,+.52,+58.43%,987,1.40,1.43,1.48,1.06,-.46,.10,-.08,.03,"8,126"
.GOOG221118P97,GOOG 100 18 NOV 22 97 PUT,5.15,+.55,+11.96%,78,5.00,5.15,5.25,4.35,-.43,.03,-.07,.12,"8,037"
.MSFT221118P220,MSFT 100 18 NOV 22 220 PUT,9.60,+1.35,+16.36%,976,9.50,9.65,10.12,8.15,-.40,.01,-.16,.28,"8,033"
.META221216C150,META 100 16 DEC 22 150 CALL,5.45,-1.85,-25.34%,310,5.45,5.55,6.10,5.00,.31,.01,-.09,.19,"8,031"
.TSLA221014P215,TSLA 100 (Weeklys) 14 OCT 22 215 PUT,5.60,+1.60,+40.00%,"51,146",5.50,5.60,6.45,2.83,-.47,.03,-1.11,.08,"7,994"
.PLTR221118C9,PLTR 100 18 NOV 22 9 CALL,.44,-.01,-2.22%,867,.43,.45,.53,.33,.37,.19,-.01,.01,"7,992"
.BAX221118P55,BAX 100 18 NOV 22 55 PUT,2.30,-.20,-8.00%,58,2.20,2.40,2.80,2.15,-.42,.06,-.03,.07,"7,983"
.KO221216C57.5,KO 100 16 DEC 22 57.5 CALL,1.05,+.02,+1.94%,441,1.01,1.08,1.30,1.04,.31,.06,-.01,.08,"7,975"
.TWTR221028C52,TWTR 100 (Weeklys) 28 OCT 22 52 CALL,1.26,-.19,-13.10%,"1,165",1.29,1.37,1.44,1.20,.38,.07,-.06,.04,"7,950"
.CLF221028P14.5,CLF 100 (Weeklys) 28 OCT 22 14.5 PUT,.67,+.07,+11.67%,19,.64,.68,.70,.56,-.34,.14,-.03,.01,"7,949"
.GH221118C65,GH 100 18 NOV 22 65 CALL,3.30,-.57,-14.73%,303,2.90,3.70,3.60,3.17,.32,.02,-.09,.06,"7,945"
.TGT221021P150,TGT 100 21 OCT 22 150 PUT,2.47,-.43,-14.83%,217,2.46,2.58,2.98,1.77,-.33,.03,-.21,.09,"7,934"
.AAL221021C13,AAL 100 21 OCT 22 13 CALL,.39,+.06,+18.18%,"4,571",.39,.40,.62,.27,.36,.22,-.03,.01,"7,857"
.META221118P120,META 100 18 NOV 22 120 PUT,7.44,+1.69,+29.39%,"1,260",7.40,7.50,7.82,6.45,-.33,.01,-.14,.15,"7,841"
.GOOGL221118C100,GOOGL 100 18 NOV 22 100 CALL,4.45,-.30,-6.32%,765,4.40,4.50,5.25,4.10,.46,.03,-.08,.12,"7,828"
.MO221118P42.5,MO 100 18 NOV 22 42.5 PUT,1.09,-.11,-9.17%,151,1.01,1.03,1.09,.84,-.33,.08,-.02,.05,"7,814"
.JNJ221021C165,JNJ 100 21 OCT 22 165 CALL,2.04,+.83,+68.60%,651,1.95,2.05,2.59,1.35,.39,.05,-.15,.10,"7,802"
.C221216P40,C 100 16 DEC 22 40 PUT,2.85,+.45,+18.75%,403,2.84,2.89,2.86,2.44,-.44,.05,-.02,.07,"7,802"
.KHC221118P35,KHC 100 18 NOV 22 35 PUT,1.58,-.36,-18.56%,396,1.55,1.65,1.85,1.51,-.49,.10,-.02,.04,"7,777"
.BAC221216P29,BAC 100 16 DEC 22 29 PUT,1.79,+.37,+26.06%,196,1.76,1.83,1.82,1.63,-.41,.07,-.02,.05,"7,771"
.CCJ221118P23,CCJ 100 18 NOV 22 23 PUT,1.05,-.06,-5.41%,56,.99,1.04,1.20,.89,-.45,.14,-.01,.03,"7,712"
.AAL221118C13,AAL 100 18 NOV 22 13 CALL,.83,+.10,+13.70%,615,.84,.86,1.05,.65,.45,.14,-.02,.02,"7,681"
.SBUX221021C87.5,SBUX 100 21 OCT 22 87.5 CALL,1.71,-.58,-25.33%,441,1.67,1.72,2.11,1.48,.42,.07,-.12,.06,"7,677"
.DIS221021P90,DIS 100 21 OCT 22 90 PUT,1.66,+.58,+53.70%,397,1.60,1.67,1.76,1.08,-.32,.05,-.14,.05,"7,674"
.TSLA221021P215,TSLA 100 21 OCT 22 215 PUT,11.05,+2.17,+24.44%,"6,343",10.90,11.10,11.81,7.75,-.47,.01,-.58,.14,"7,660"
.RTX221118P85,RTX 100 18 NOV 22 85 PUT,4.15,+.02,+0.48%,36,3.95,4.10,4.30,3.60,-.49,.04,-.05,.11,"7,632"
.NEM221216P42.5,NEM 100 16 DEC 22 42.5 PUT,3.70,+.25,+7.25%,14,3.70,3.85,3.70,3.25,-.50,.05,-.03,.07,"7,597"
.NVDA221118C120,NVDA 100 18 NOV 22 120 CALL,8.40,-.58,-6.46%,"1,282",8.40,8.50,9.65,7.25,.49,.02,-.14,.15,"7,589"
.MARA221216P10,MARA 100 16 DEC 22 10 PUT,2.28,+.12,+5.56%,270,2.18,2.23,2.36,2.04,-.35,.06,-.02,.02,"7,582"
.AZUL221118C10,AZUL 100 18 NOV 22 10 CALL,.85,-.25,-22.73%,58,.80,.90,.95,.85,.49,.16,-.01,.01,"7,570"
.EVBG221216C35,EVBG 100 16 DEC 22 35 CALL,2.40,-.70,-22.58%,2,1.90,2.70,2.40,2.40,.39,.04,-.03,.05,"7,531"
.UWMC221118P3,UWMC 100 18 NOV 22 3 PUT,.21,0,0.00%,18,.16,.25,.24,.20,-.37,.52,.00,.00,"7,527"
.SBS221216C12.5,SBS 100 16 DEC 22 12.5 CALL,.70,0,0.00%,<empty>,.45,.60,0,0,.33,.13,-.01,.02,"7,500"
.HDB221021P55,HDB 100 21 OCT 22 55 PUT,1.07,+.47,+78.33%,10,.85,1.30,1.07,.80,-.35,.08,-.08,.03,"7,495"
.ADT221021P8,ADT 100 21 OCT 22 8 PUT,.24,-.06,-20.00%,510,.20,.25,.30,.17,-.39,.50,-.02,.01,"7,478"
.UBER221216P25,UBER 100 16 DEC 22 25 PUT,3.00,+1.07,+55.44%,"1,385",3.00,3.10,4.00,2.44,-.45,.05,-.02,.04,"7,430"
.CVX221216C165,CVX 100 16 DEC 22 165 CALL,6.46,+.01,+0.16%,"1,867",6.30,6.60,7.67,5.05,.40,.02,-.07,.26,"7,403"
.BBBY221021P5,BBBY 100 21 OCT 22 5 PUT,.44,+.19,+76.00%,"1,649",.39,.42,.48,.26,-.44,.36,-.02,.00,"7,403"
.RBLX221021P35,RBLX 100 21 OCT 22 35 PUT,2.50,+.44,+21.36%,344,2.47,2.53,3.20,2.05,-.50,.07,-.12,.02,"7,403"
.UAL221014C35,UAL 100 (Weeklys) 14 OCT 22 35 CALL,.65,-.10,-13.33%,"3,307",.61,.66,1.56,.32,.37,.14,-.19,.01,"7,394"
.AMD221021C60,AMD 100 21 OCT 22 60 CALL,1.63,-.13,-7.39%,"8,767",1.62,1.65,2.11,1.16,.40,.06,-.12,.04,"7,381"
.PINS221216C25,PINS 100 16 DEC 22 25 CALL,2.40,-.85,-26.15%,"1,806",2.40,2.43,2.90,2.27,.48,.05,-.02,.04,"7,354"
.COF221118P92.5,COF 100 18 NOV 22 92.5 PUT,5.75,-.15,-2.54%,246,5.50,5.80,6.10,4.80,-.43,.02,-.08,.12,"7,348"
.AMZN221014P110,AMZN 100 (Weeklys) 14 OCT 22 110 PUT,1.58,+.35,+28.46%,"37,305",1.55,1.63,2.44,.80,-.35,.06,-.46,.04,"7,345"
.KMI221216C18,KMI 100 16 DEC 22 18 CALL,.50,+.01,+2.04%,24,.49,.53,.57,.43,.36,.17,-.01,.03,"7,323"
.PINS221216C27.5,PINS 100 16 DEC 22 27.5 CALL,1.60,-.60,-27.27%,79,1.60,1.67,1.95,1.55,.37,.05,-.02,.04,"7,316"
.VXX221216P20,VXX 100 16 DEC 22 20 PUT,2.27,+.01,+0.44%,9,1.95,2.16,2.29,2.12,-.33,.05,-.02,.03,"7,298"
.GM221118P30,GM 100 18 NOV 22 30 PUT,1.53,+.17,+12.50%,"2,086",1.48,1.54,1.59,1.26,-.33,.06,-.03,.04,"7,295"
.AGI221021P7.5,AGI 100 21 OCT 22 7.5 PUT,.22,-.03,-12.00%,2,.20,.40,.22,.20,-.48,.53,-.02,.00,"7,278"
.BA221118P125,BA 100 18 NOV 22 125 PUT,7.00,+.47,+7.20%,"1,690",6.85,7.00,7.35,5.69,-.37,.02,-.12,.16,"7,259"
.GE221216P60,GE 100 16 DEC 22 60 PUT,3.11,+.52,+20.08%,4,3.00,3.10,3.22,3.05,-.33,.03,-.03,.10,"7,219"
.MRK221118C95,MRK 100 18 NOV 22 95 CALL,1.71,+.31,+22.14%,"1,603",1.66,1.80,1.92,1.38,.33,.04,-.04,.11,"7,206"
.DRIO221216C7.5,DRIO 100 16 DEC 22 7.5 CALL,.61,0,0.00%,<empty>,.35,.55,0,0,.33,.13,-.01,.01,"7,139"
.AAPL221111P135,AAPL 100 (Weeklys) 11 NOV 22 135 PUT,5.46,+.56,+11.43%,"1,020",5.30,5.45,5.75,4.55,-.38,.02,-.11,.15,"7,133"
.APO221118P47.5,APO 100 18 NOV 22 47.5 PUT,3.30,+.30,+10.00%,16,3.10,3.40,3.30,2.86,-.46,.05,-.04,.06,"7,122"
.NVDA221021P115,NVDA 100 21 OCT 22 115 PUT,4.80,+.15,+3.23%,"8,174",4.80,4.90,6.48,3.81,-.44,.03,-.28,.08,"7,098"
.LCID221021P12,LCID 100 21 OCT 22 12 PUT,.46,-.09,-16.36%,191,.45,.48,.65,.33,-.33,.18,-.04,.01,"7,097"
.GILD221216C67.5,GILD 100 16 DEC 22 67.5 CALL,2.02,+.25,+14.12%,376,2.18,2.38,2.41,1.70,.42,.05,-.02,.11,"7,084"
.AMC221021P6,AMC 100 21 OCT 22 6 PUT,.48,+.06,+14.29%,"4,001",.46,.48,.52,.38,-.42,.29,-.03,.00,"7,082"
.AMZN221118P112,AMZN 100 18 NOV 22 112 PUT,7.65,+.72,+10.39%,"2,759",7.40,7.50,8.30,6.18,-.45,.02,-.10,.14,"7,079"
.CMCSA221118P27.5,CMCSA 100 18 NOV 22 27.5 PUT,1.18,+.13,+12.38%,217,1.18,1.21,1.19,1.04,-.36,.09,-.02,.03,"7,070"
.HAL221216C32,HAL 100 16 DEC 22 32 CALL,2.20,+.38,+20.88%,17,1.81,1.93,2.25,2.03,.42,.06,-.02,.05,"7,066"
.VSTO221118P25,VSTO 100 18 NOV 22 25 PUT,1.80,+.20,+12.50%,42,1.70,1.95,1.80,1.80,-.44,.08,-.03,.03,"7,051"
.NVDA221118P115,NVDA 100 18 NOV 22 115 PUT,9.55,+.35,+3.80%,"1,384",9.50,9.60,11.00,8.43,-.43,.02,-.13,.15,"7,041"
.RIVN221216C35,RIVN 100 16 DEC 22 35 CALL,3.40,+.27,+8.63%,"1,623",3.50,3.60,4.10,3.00,.49,.04,-.04,.05,"7,005"
.INVH221118P32.5,INVH 100 18 NOV 22 32.5 PUT,1.40,-.35,-20.00%,104,1.30,1.40,1.85,1.25,-.43,.10,-.02,.04,"6,997"
.MU221118C57.5,MU 100 18 NOV 22 57.5 CALL,2.12,+.83,+64.34%,915,2.12,2.17,2.53,1.05,.38,.04,-.05,.07,"6,978"
.CLF221021C16,CLF 100 21 OCT 22 16 CALL,.42,-.13,-23.64%,"1,940",.41,.43,.56,.33,.38,.22,-.03,.01,"6,958"
.CRON221118P2.5,CRON 100 18 NOV 22 2.5 PUT,.15,-.01,-6.25%,"12,665",.14,.15,.17,.14,-.32,.57,.00,.00,"6,949"
.SNAP221014P10,SNAP 100 (Weeklys) 14 OCT 22 10 PUT,.24,+.03,+14.29%,"7,714",.23,.25,.45,.16,-.36,.39,-.07,.00,"6,926"
.JPM221118C105,JPM 100 18 NOV 22 105 CALL,4.20,-1.65,-28.21%,439,4.15,4.30,5.33,4.20,.44,.03,-.07,.13,"6,921"
.PBR221216C15,PBR 100 16 DEC 22 15 CALL,.94,+.02,+2.17%,160,.77,.90,.94,.84,.43,.13,-.01,.02,"6,921"
.MPW221216P11,MPW 100 16 DEC 22 11 PUT,1.50,-.20,-11.76%,289,1.45,1.50,1.80,1.45,-.45,.11,-.01,.02,"6,912"
.META221021P125,META 100 21 OCT 22 125 PUT,3.60,+1.50,+71.43%,"4,471",3.55,3.65,4.35,2.53,-.37,.03,-.26,.08,"6,903"
.PBR221216P12,PBR 100 16 DEC 22 12 PUT,1.04,+.04,+4.00%,8,.61,2.50,1.05,1.04,-.28,.05,-.02,.02,"6,874"
.SLB221118C42.5,SLB 100 18 NOV 22 42.5 CALL,2.55,-.25,-8.93%,322,2.54,2.60,2.83,2.30,.50,.06,-.04,.05,"6,858"
.ET221014P11.5,ET 100 (Weeklys) 14 OCT 22 11.5 PUT,.20,-.10,-33.33%,"4,937",.19,.21,.47,.15,-.47,.74,-.04,.00,"6,817"
.AAPL221014P139,AAPL 100 (Weeklys) 14 OCT 22 139 PUT,2.46,+.37,+17.70%,"27,343",2.42,2.47,2.94,1.52,-.48,.06,-.49,.05,"6,813"
.AU221118P13,AU 100 18 NOV 22 13 PUT,.51,-.04,-7.27%,1,.55,.70,.51,.51,-.33,.14,-.01,.02,"6,805"
.TSLA221216P216.67,TSLA 100 16 DEC 22 216.67 PUT,23.90,+3.09,+14.85%,240,23.75,23.95,24.45,20.45,-.45,.01,-.17,.36,"6,805"
.OXY221118P60,OXY 100 18 NOV 22 60 PUT,3.10,+.50,+19.23%,464,3.00,3.10,3.52,2.65,-.33,.03,-.06,.07,"6,794"
.KR221021C46,KR 100 21 OCT 22 46 CALL,1.01,+.60,+146.34%,57,.96,.99,1.10,.36,.47,.14,-.06,.03,"6,783"
.CHPT221118C16,CHPT 100 18 NOV 22 16 CALL,.75,-.09,-10.71%,144,.73,.77,.79,.54,.34,.10,-.02,.02,"6,783"
.PDD221021P55,PDD 100 21 OCT 22 55 PUT,2.54,+.74,+41.11%,329,2.48,2.60,3.00,1.75,-.43,.05,-.15,.04,"6,774"
.NVDA221021P110,NVDA 100 21 OCT 22 110 PUT,2.94,+.09,+3.16%,"14,953",2.91,2.94,4.15,2.23,-.30,.02,-.25,.07,"6,753"
.META221118P130,META 100 18 NOV 22 130 PUT,11.85,+2.55,+27.42%,"1,950",11.80,11.90,12.37,10.05,-.47,.01,-.14,.16,"6,749"
.HAL221118C32,HAL 100 18 NOV 22 32 CALL,1.49,+.25,+20.16%,132,1.25,1.33,1.57,.99,.37,.07,-.03,.04,"6,736"
.LVS221118P37,LVS 100 18 NOV 22 37 PUT,3.20,+1.21,+60.80%,80,3.20,3.30,3.58,2.89,-.49,.05,-.04,.05,"6,724"
.GSK221021C31,GSK 100 21 OCT 22 31 CALL,.76,+.34,+80.95%,10,.40,.60,.76,.60,.39,.20,-.04,.02,"6,703"
.SMR221118P10,SMR 100 18 NOV 22 10 PUT,1.10,+.12,+12.24%,337,.90,1.15,1.15,.97,-.34,.10,-.02,.01,"6,661"
.GOEV221118P5,GOEV 100 18 NOV 22 5 PUT,3.65,+.20,+5.80%,1,3.60,3.85,3.65,3.65,-.36,.03,-.01,.00,"6,650"
.INTC221118C27.5,INTC 100 18 NOV 22 27.5 CALL,.71,-.04,-5.33%,"2,606",.69,.72,.78,.60,.30,.09,-.02,.03,"6,644"
.PDD221021C60,PDD 100 21 OCT 22 60 CALL,1.25,-1.11,-47.03%,838,1.25,1.32,2.20,1.22,.30,.05,-.13,.03,"6,629"
.GOOGL221216P96,GOOGL 100 16 DEC 22 96 PUT,6.20,+.60,+10.71%,80,6.00,6.10,6.32,5.38,-.43,.02,-.05,.16,"6,624"
.SE221021P55,SE 100 21 OCT 22 55 PUT,1.96,+.48,+32.43%,153,1.81,1.93,2.25,1.46,-.34,.05,-.14,.03,"6,622"
.GME221014P25,GME 100 (Weeklys) 14 OCT 22 25 PUT,.84,-.26,-23.64%,"3,806",.80,.85,1.61,.53,-.44,.16,-.18,.01,"6,616"
.UPST221014P22,UPST 100 (Weeklys) 14 OCT 22 22 PUT,.74,-.66,-47.14%,"3,462",.73,.74,1.91,.55,-.32,.11,-.23,.01,"6,612"
.SLB221021P40,SLB 100 21 OCT 22 40 PUT,.79,0,0.00%,681,.75,.80,.99,.72,-.30,.09,-.07,.02,"6,604"
.TSLA221021P210,TSLA 100 21 OCT 22 210 PUT,8.95,+1.88,+26.59%,"5,704",8.75,8.90,9.56,6.10,-.40,.01,-.57,.14,"6,584"
.BP221021C31,BP 100 21 OCT 22 31 CALL,.38,-.19,-33.33%,819,.38,.41,.57,.38,.30,.16,-.04,.02,"6,578"
.GOOG221216P100,GOOG 100 16 DEC 22 100 PUT,7.60,+.70,+10.14%,120,7.50,7.65,7.75,6.89,-.50,.02,-.05,.17,"6,575"
.TMUS221021C140,TMUS 100 21 OCT 22 140 CALL,1.83,-.30,-14.08%,173,1.68,1.75,2.10,1.73,.36,.05,-.14,.08,"6,547"
.AG221021P8,AG 100 21 OCT 22 8 PUT,.31,+.01,+3.33%,417,.30,.33,.33,.21,-.41,.39,-.02,.01,"6,547"
.BBBY221118P5,BBBY 100 18 NOV 22 5 PUT,.94,+.20,+27.03%,143,.86,.94,.95,.80,-.40,.16,-.01,.01,"6,545"
.JNJ221021P160,JNJ 100 21 OCT 22 160 PUT,1.85,-.76,-29.12%,792,1.75,1.91,2.16,1.49,-.35,.05,-.15,.10,"6,512"
.ATUS221216P5,ATUS 100 16 DEC 22 5 PUT,.74,+.09,+13.85%,2,.65,.80,.74,.70,-.37,.17,-.01,.01,"6,511"
.CS221216C5,CS 100 16 DEC 22 5 CALL,.35,-.07,-16.67%,115,.30,.35,.49,.34,.38,.26,.00,.01,"6,474"
.SBS221118P10,SBS 100 18 NOV 22 10 PUT,.45,+.05,+12.50%,1,.40,.55,.45,.45,-.31,.16,-.01,.01,"6,469"
.JPM221216C110,JPM 100 16 DEC 22 110 CALL,3.57,-1.08,-23.23%,242,3.50,3.70,4.30,3.57,.35,.02,-.05,.16,"6,465"
.EBIX221216C25,EBIX 100 16 DEC 22 25 CALL,1.30,0,0.00%,5,1.35,1.45,1.40,1.30,.33,.04,-.02,.03,"6,449"
.SBUX221021P85,SBUX 100 21 OCT 22 85 PUT,1.69,+.25,+17.36%,"1,087",1.69,1.72,1.98,1.35,-.40,.07,-.11,.05,"6,446"
.NLY221021P16,NLY 100 21 OCT 22 16 PUT,.41,-.76,-64.96%,716,.37,.50,.90,.38,-.32,.18,-.04,.01,"6,444"
.TMUS221118C145,TMUS 100 18 NOV 22 145 CALL,3.60,-.10,-2.70%,12,3.25,3.50,3.60,3.44,.34,.02,-.08,.16,"6,437"
.GME221118C30,GME 100 18 NOV 22 30 CALL,1.92,+.01,+0.52%,"1,294",1.86,2.01,2.30,1.52,.38,.04,-.05,.03,"6,426"
.ADBE221216P290,ADBE 100 16 DEC 22 290 PUT,24.30,+1.15,+4.97%,28,23.60,23.95,25.27,22.26,-.49,.01,-.15,.48,"6,425"
.ASTS221216P7.5,ASTS 100 16 DEC 22 7.5 PUT,1.55,-.32,-17.11%,3,1.50,1.80,1.55,1.55,-.43,.10,-.01,.01,"6,400"
.SHOP221021P25,SHOP 100 21 OCT 22 25 PUT,1.24,+.24,+24.00%,532,1.21,1.26,1.54,.96,-.40,.10,-.08,.02,"6,397"
.SNY221118C42,SNY 100 18 NOV 22 42 CALL,1.25,+.28,+28.87%,43,1.05,1.15,1.25,1.00,.35,.07,-.02,.05,"6,391"
.INVZ221021C5,INVZ 100 21 OCT 22 5 CALL,.11,-.17,-60.71%,29,.10,.25,.27,.11,.34,.42,-.02,.00,"6,391"
.PLTR221216P8,PLTR 100 16 DEC 22 8 PUT,.94,-.06,-6.00%,307,.94,.96,1.03,.85,-.43,.16,-.01,.01,"6,386"
.CVX221216C160,CVX 100 16 DEC 22 160 CALL,8.63,+.03,+0.35%,"2,007",8.45,8.75,10.01,7.25,.48,.02,-.07,.26,"6,368"
.GILD221118C67.5,GILD 100 18 NOV 22 67.5 CALL,1.66,+.41,+32.80%,289,1.69,1.75,1.88,1.28,.40,.06,-.03,.08,"6,345"
.MLCO221118C9,MLCO 100 18 NOV 22 9 CALL,.40,-.05,-11.11%,3,.30,.45,.40,.40,.30,.15,-.01,.01,"6,338"
.COIN221118P65,COIN 100 18 NOV 22 65 PUT,8.15,-.85,-9.44%,"1,913",8.00,8.25,9.86,7.30,-.35,.01,-.13,.08,"6,331"
.NEM221021C42.5,NEM 100 21 OCT 22 42.5 CALL,1.09,-.23,-17.42%,28,1.02,1.06,1.63,1.05,.43,.12,-.07,.03,"6,329"
.AMC221014C6.5,AMC 100 (Weeklys) 14 OCT 22 6.5 CALL,.17,-.13,-43.33%,"11,340",.15,.17,.35,.14,.34,.49,-.05,.00,"6,326"
.LI221118P20,LI 100 18 NOV 22 20 PUT,2.31,-.47,-16.91%,26,2.33,2.37,2.61,2.05,-.46,.07,-.03,.03,"6,316"
.PFE221216C45,PFE 100 16 DEC 22 45 CALL,.91,-.02,-2.15%,605,.94,1.02,1.17,.86,.30,.06,-.01,.06,"6,310"
.PYPL221118P85,PYPL 100 18 NOV 22 85 PUT,8.00,+.81,+11.27%,383,7.90,8.05,9.35,7.05,-.49,.02,-.09,.11,"6,310"
.NOK221216C4.5,NOK 100 16 DEC 22 4.5 CALL,.26,0,0.00%,23,.23,.27,.27,.26,.46,.49,.00,.01,"6,295"
.AMZN221118C124,AMZN 100 18 NOV 22 124 CALL,3.13,-.63,-16.76%,323,3.15,3.25,4.20,2.77,.30,.02,-.09,.13,"6,290"
.DNA221216C3.5,DNA 100 16 DEC 22 3.5 CALL,.30,+.03,+11.11%,31,.25,.40,.36,.24,.44,.31,.00,.00,"6,255"
.AA221216P35,AA 100 16 DEC 22 35 PUT,3.15,+.23,+7.88%,61,3.10,3.20,3.33,2.85,-.34,.03,-.03,.06,"6,254"
.NVTA221216P2.5,NVTA 100 16 DEC 22 2.5 PUT,.70,+.05,+7.69%,11,.65,.75,.70,.65,-.45,.28,.00,.00,"6,239"
.ABNB221118C120,ABNB 100 18 NOV 22 120 CALL,4.45,-1.42,-24.19%,92,4.35,4.50,5.27,3.50,.33,.02,-.11,.12,"6,234"
.AXL221021C8,AXL 100 21 OCT 22 8 CALL,.25,+.15,+150.00%,33,.15,.30,.29,.10,.37,.41,-.02,.00,"6,230"
.MU221014C55,MU 100 (Weeklys) 14 OCT 22 55 CALL,.78,+.56,+254.55%,"4,380",.78,.80,1.30,.12,.38,.12,-.23,.02,"6,221"
.AA221014P37,AA 100 (Weeklys) 14 OCT 22 37 PUT,.87,+.36,+70.59%,34,.76,.82,1.03,.48,-.37,.13,-.22,.01,"6,214"
.HD221118P275,HD 100 18 NOV 22 275 PUT,9.55,+.25,+2.69%,41,9.65,9.90,10.25,8.59,-.38,.01,-.17,.35,"6,207"
.RBLX221118P35,RBLX 100 18 NOV 22 35 PUT,4.79,+.44,+10.11%,"1,027",4.75,4.85,5.35,4.42,-.44,.03,-.06,.04,"6,187"
.RBLX221118C40,RBLX 100 18 NOV 22 40 CALL,2.51,-.31,-10.99%,287,2.51,2.59,2.87,2.10,.39,.03,-.06,.04,"6,185"
.OXY221118C70,OXY 100 18 NOV 22 70 CALL,2.71,-.64,-19.10%,"2,641",2.65,2.75,3.20,2.25,.36,.03,-.06,.08,"6,182"
.MET221021C65,MET 100 21 OCT 22 65 CALL,.80,+.02,+2.56%,2,.70,.85,.90,.80,.33,.10,-.07,.04,"6,160"
.BA221118P120,BA 100 18 NOV 22 120 PUT,5.50,+.72,+15.06%,153,5.15,5.35,5.60,4.25,-.29,.01,-.11,.14,"6,160"
.MET221118C65,MET 100 18 NOV 22 65 CALL,2.03,+.03,+1.50%,12,1.95,2.10,2.28,2.00,.42,.06,-.04,.08,"6,158"
.BYND221118P12.5,BYND 100 18 NOV 22 12.5 PUT,1.66,-.07,-4.05%,158,1.50,1.68,1.80,1.50,-.31,.06,-.03,.02,"6,153"
.GME221216P26.25,GME 100 16 DEC 22 26.25 PUT,5.43,-.30,-5.24%,"2,111",5.60,5.90,6.00,5.35,-.42,.03,-.04,.04,"6,151"
.MLCO221021P7,MLCO 100 21 OCT 22 7 PUT,.45,+.15,+50.00%,241,.35,.45,.52,.33,-.39,.30,-.03,.00,"6,139"
.WMT221216P130,WMT 100 16 DEC 22 130 PUT,5.35,-1.00,-15.75%,49,5.25,5.35,6.05,4.90,-.40,.02,-.05,.22,"6,134"
.RCL221118P40,RCL 100 18 NOV 22 40 PUT,4.15,+.20,+5.06%,725,4.00,4.15,4.85,3.80,-.42,.03,-.06,.05,"6,132"
.TWTR221216C52.5,TWTR 100 16 DEC 22 52.5 CALL,1.37,-.08,-5.52%,376,1.24,1.40,1.48,1.00,.37,.07,-.02,.08,"6,120"
.AXSM221021C50,AXSM 100 21 OCT 22 50 CALL,2.10,+.40,+23.53%,879,.90,2.20,2.68,1.40,.31,.03,-.20,.02,"6,118"
.LOW221014P192.5,LOW 100 (Weeklys) 14 OCT 22 192.5 PUT,1.33,-.92,-40.89%,10,1.75,2.02,1.89,1.33,-.32,.04,-.60,.06,"6,106"
.MO221021C45,MO 100 21 OCT 22 45 CALL,.62,+.32,+106.67%,"1,742",.62,.66,.90,.44,.39,.16,-.04,.03,"6,097"
.FAST221021P45,FAST 100 21 OCT 22 45 PUT,1.12,+.07,+6.67%,"1,654",1.10,1.15,1.24,.90,-.36,.08,-.09,.03,"6,094"
.RIOT221021P6,RIOT 100 21 OCT 22 6 PUT,.42,+.08,+23.53%,247,.41,.43,.50,.33,-.40,.30,-.03,.00,"6,094"
.BAC221216C31,BAC 100 16 DEC 22 31 CALL,1.53,-.42,-21.54%,207,1.49,1.53,1.79,1.47,.44,.08,-.02,.05,"6,092"
.LUV221118P30,LUV 100 18 NOV 22 30 PUT,1.42,+.12,+9.23%,53,1.41,1.45,1.55,1.03,-.36,.07,-.03,.04,"6,092"
.SBUX221118P85,SBUX 100 18 NOV 22 85 PUT,4.15,+.37,+9.79%,"1,911",4.05,4.20,4.45,3.65,-.43,.03,-.06,.11,"6,077"
.MARA221216C15,MARA 100 16 DEC 22 15 CALL,.92,-.09,-8.91%,223,.92,.95,1.05,.84,.34,.07,-.02,.02,"6,055"
.KGC221118C4,KGC 100 18 NOV 22 4 CALL,.18,-.01,-5.26%,32,.16,.17,.20,.18,.36,.50,.00,.00,"6,051"
.IMAX221216C16,IMAX 100 16 DEC 22 16 CALL,.56,-.34,-37.78%,"2,500",.50,.75,.57,.56,.32,.11,-.01,.02,"6,043"
.BP221021C30,BP 100 21 OCT 22 30 CALL,.78,-.32,-29.09%,234,.77,.80,1.08,.77,.48,.18,-.05,.02,"6,028"
.AMRS221118P2.5,AMRS 100 18 NOV 22 2.5 PUT,.40,-.05,-11.11%,35,.35,.45,.50,.40,-.40,.35,-.01,.00,"6,024"
.ET221028P11,ET 100 (Weeklys) 28 OCT 22 11 PUT,.25,-.04,-13.79%,181,.23,.25,.38,.21,-.31,.31,-.01,.01,"6,023"
.BMY221118P67.5,BMY 100 18 NOV 22 67.5 PUT,1.57,-.39,-19.90%,106,1.55,1.61,1.88,1.38,-.35,.06,-.03,.08,"6,020"
